probe coef
(Intercept) -58.2413413292108
cg00187437 16.2724521793509
cg00282195 1.26926943831616
cg00506250 -5.75018140437588
cg01081189 -22.7818297123493
cg01368219 39.9295117146131
cg01395533 1.69159739210617
cg01502919 -1.17400017310001
cg01568521 51.4874928509757
cg01613337 14.8360726101269
cg01734786 -4.14571387499879
cg01907457 0.748167644393799
cg02060096 -11.3008178584047
cg02372820 1.19685019609462
cg02905964 -2.40427184897277
cg03037561 1.00046948333007
cg03226872 -0.257371533180706
cg03549739 8.0778868362963
cg03870397 -9.17114971086104
cg04555379 14.0255162812339
cg04581294 2.28680897803551
cg04657146 -4.46786335449845
cg04831806 -2.61536497021835
cg05401839 1.46996034496374
cg05785348 -0.948137449593966
cg05991401 -1.84263126321485
cg06301399 30.5064756462416
cg06341590 -7.75379393287879
cg06413196 -0.386829670029362
cg06480764 -26.9392087802328
cg06532546 6.82247212438183
cg06662568 21.2110265387345
cg06683316 9.84075193954999
cg07168142 3.24857368415717
cg07408340 9.7310481213543
cg07548255 -0.198339055745516
cg08331635 -9.95776754466867
cg08349573 -18.1804977193104
cg08607533 -5.41901804519719
cg09179079 -1.57495920687588
cg09254686 -2.77803084508212
cg09275655 -11.4399265364367
cg10061292 -30.9989423303054
cg10266681 -2.25026368334807
cg10280963 10.2000611461992
cg10976968 -1.74931227123698
cg10981717 -6.61482515559044
cg11067714 13.997439775752
cg11205312 -9.42198932615812
cg11315449 16.4565770729963
cg11398400 8.63241615812819
cg11531272 0.970380919994587
cg12158056 -10.8122647754081
cg12315892 -6.80956787428795
cg12641286 3.61129637705786
cg12809031 -0.612836722370997
cg13617904 -4.31103403288083
cg13861904 -0.523014379662034
cg13861948 21.0941736993829
cg14112569 4.18428040062153
cg14198472 -6.91367350592009
cg14243741 2.38805751130147
cg14421348 -21.9223210664849
cg14996263 -0.302240591879313
cg15637415 11.6172436214253
cg15673034 8.72739065298916
cg15770585 -1.44961234629268
cg15776560 30.3396220847951
cg16586538 -7.85669503382545
cg16807679 3.14458301883069
cg16918684 5.51297717525377
cg17098103 -3.65434643012424
cg17540159 3.7291371192808
cg17754515 -26.7478854871112
cg17839314 -11.6010623484035
cg17998566 -21.2208004550769
cg18645906 22.0946660266286
cg19354746 -1.36440992590267
cg19451168 0.661939777329603
cg19612309 4.76184735253419
cg19927885 2.09248870457663
cg20039211 -3.75915026970929
cg20282814 18.9300418769495
cg20634498 1.63366278366159
cg20660624 3.38747251678919
cg20752831 -3.64635780806315
cg20778582 -2.59447748179315
cg20917891 -13.0842036804283
cg21554895 5.40903852912974
cg21748136 0.619232135589304
cg21859594 12.8671693850103
cg22363368 -0.749509176242417
cg22764289 -1.84231438726719
cg22865215 60.2468916960559
cg22891413 1.20843830043602
cg23256459 2.57721470160669
cg23437973 -31.2978754828675
cg23731272 4.65705063870812
cg24129977 -1.06778634959488
cg24351977 2.29076662098734
cg25309759 -11.1744946715863
cg25451082 -19.7551175325002
cg25581090 0.557856723734236
cg25918267 -6.03182696486965
cg26450801 0.349103355740147
cg26666107 5.97325931173955
cg27455098 -16.3106298464975
cg27640020 0.0611366865623022
